Calories,SaturatedFatContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeId
170.9,1.3,29.8,37.1,3.6,30.2,3.2,38
1110.7,16.6,368.4,84.4,9,20.4,63.4,39
311.1,0,1.8,81.5,0.4,77.2,0.3,40
536.1,3.8,1558.6,64.2,17.3,32.1,29.3,41
103.6,0.1,959.3,25.1,4.8,17.7,4.3,42
437.9,10.9,267.6,58,1.8,42.5,7,43
895.5,31.9,557.2,29.1,3.1,5,45.3,44
228,1.7,281.8,37.5,0.5,24.7,4.2,45
4.3,0,0.7,1.1,0.2,0.2,0.1,46
69,1.4,15,4.5,0.6,1.6,0.8,47
688.2,12.9,722.3,84,1.6,46.2,8.8,48
627.7,13,848.9,13.7,0.6,2,57.9,49
89.4,0.3,23.5,14.5,0.8,7.3,2.3,50
69.2,2.1,53.2,6,0.7,0,3.5,51
62.2,0,36.6,12.8,0,11.8,2.7,52
372.9,3.2,190,66.2,3.4,40.9,6.6,53
522.6,4.9,534.8,67,1.6,47.9,5,54
415.9,5.4,310.6,24.9,17.3,2.8,5.5,55
395.9,9.8,269.8,52.2,0.7,39.9,5,56
114.3,0.5,3.7,15.6,5.5,1.4,5.4,57
280.1,1.5,591.5,22.4,6.1,9.2,29.8,58
221.5,2.5,367.8,32.5,2.5,1.8,8.1,59
381.1,8.8,437.6,54.5,1.6,36.9,3.9,60
4713.8,144.2,2157.8,509.9,29,392.5,71.7,61
407.8,2.3,20,55.8,16.6,4.3,17.1,62
586.1,12.3,2020.8,26.1,3.5,11.6,30.2,63
408.5,9,159.4,56,1.3,29,6.9,64
772,0.5,2241.9,189.6,6.4,164.3,7,66
697.7,13.6,441.9,91.2,1.9,62.6,7.8,67
471.4,10.1,990,41.1,1.9,2.5,20.9,68
21.1,0,3.6,2.7,1.5,0,2.7,69
2389.3,7.1,2717,466.9,57.5,30.2,97.8,70
657.9,14.4,637.7,19.1,2.1,2.6,46.1,71
182.8,3.6,160.2,34,2.1,25.3,2.3,72
1243.1,27.6,1519.1,28.3,6.6,11.1,113.3,73
122.1,3,194.7,14.4,0.5,10.9,5.7,74
21,0,354.9,4.9,0.9,3.3,0.6,75
489.9,31.5,312.4,2.5,0,0.2,8.7,76
267.2,12.8,577.9,14.1,0.3,7.7,8.2,78
232.9,5.4,475.7,19.3,2.3,8.5,9.6,79
487.1,14.5,597.1,49.3,0.4,29.6,15.6,80
529.3,14.8,865.8,69.7,6.8,0.3,11.2,81
329.7,3.4,446.8,35.6,2,1.9,9.3,82
480.7,11.5,286.1,56.9,7.6,4.9,11.1,83
40.9,0.1,23.9,8.1,3,2,2.9,84
373.8,11.8,243.8,43.9,0.8,22.2,5.5,85
64.1,2,118.6,7.6,0.2,0.4,1.2,86
355.1,10.6,164.1,42.6,0.7,33.7,4.2,87
1974,41.1,4146,150.2,8.8,9.3,84.7,88
1001.4,27.8,634.9,141.6,7.8,110.2,6.7,89
2123.5,9,49.1,244,22.6,210.7,48.9,90
412.6,16.3,410.7,42.1,4.4,2.7,8.1,91
141.4,0.5,1.5,25.4,3.3,20.6,2.1,92
246.3,12.1,482.8,3.5,0.9,1,9.9,93
337.9,4.7,125.7,40.2,1.2,11.5,4.2,94
622.8,21.5,1504.2,8.9,1.2,0.9,33.1,96
283.9,3.6,11.1,12.4,3.2,7.4,2.3,97
125.3,0.5,13999.9,16.4,6,0.9,5.7,99
517.6,14.7,521.2,55.5,1.4,25.6,9.2,100
184.2,1.4,413.1,20.9,3.9,10.1,3.9,101
332,6.5,260.7,46,5.2,4.3,14.2,102
631.8,14.9,1759,100.9,18.3,70.5,14.3,103
543.5,11.3,1795.1,44.8,1.5,12.6,25.5,104
505.8,3.1,281.5,3,0,2.4,75.8,105
1012.8,34.8,1000,38.5,3.4,4.3,15.9,106
459,6.6,323.9,61.8,1.1,40.8,10.6,108
1194.6,33,348.1,52.7,8,7.7,75.9,109
48,0.1,168.7,10.8,1.8,8,1.7,110
270.1,11.4,610.2,9.7,0.9,1.7,14.4,112
127,0.6,332.4,20.2,1.1,4.2,4.5,113
