RecipeId,Ingredient
38,blueberries
38,granulated sugar
38,vanilla yogurt
38,lemon juice
39,saffron
39,milk
39,hot green chili peppers
39,onions
39,garlic
39,clove
39,peppercorns
39,cardamom seed
39,cumin seed
39,poppy seed
39,mace
39,cilantro
39,mint leaf
39,fresh lemon juice
39,plain yogurt
39,boneless chicken
39,salt
39,ghee
39,onion
39,tomatoes
39,basmati rice
39,long-grain rice
39,raisins
39,cashews
39,eggs
40,sugar
40,lemons
40,rind of
40,lemon
40,zest of
40,fresh water
40,fresh lemon juice
41,extra firm tofu
41,eggplant
41,zucchini
41,mushrooms
41,soy sauce
41,low sodium soy sauce
41,olive oil
41,maple syrup
41,honey
41,red wine vinegar
41,lemon juice
41,garlic cloves
41,mustard powder
41,black pepper
42,plain tomato juice
42,cabbage
42,onion
42,carrots
42,celery
43,graham cracker crumbs
43,sugar
43,butter
43,sugar
43,cornstarch
43,salt
43,milk
43,vanilla extract
43,water
43,gelatin
43,rum
43,cream of tartar
43,sugar
44,chicken
44,butter
44,flour
44,milk
44,celery
44,button mushrooms
44,green pepper
44,canned pimiento
44,salt
44,black pepper
44,Worcestershire sauce
44,parsley
45,sugar
45,margarine
45,egg
45,flour
45,salt
45,buttermilk
45,graham cracker crumbs
45,margarine
46,rice vinegar
46,haeo
47,butter
47,brown sugar
47,granulated sugar
47,vanilla extract
47,flour
47,pecan halves
48,margarine
48,cake flour
48,baking powder
48,salt
48,sugar
48,vanilla
48,eggs
48,milk
48,sugar
48,cornstarch
48,milk
48,flour
48,salt
48,vanilla
48,butter
48,vanilla
49,fresh mushrooms
49,butter
49,boneless skinless chicken breast halves
49,flour
49,butter
49,marsala
49,chicken broth
49,salt
49,mozzarella cheese
49,parmesan cheese
49,green onion
50,flour
50,sugar
50,baking powder
50,salt
50,eggs
50,vanilla
50,egg
50,water
51,water
51,black tea
51,cinnamon stick
51,milk
51,sugar
51,honey
51,cardamom pods
51,black peppercorns
51,star anise
51,whole cloves
51,whole coriander seed
52,instant coffee
52,sugar
52,nonfat dry milk solid
53,all-purpose flour
53,sugar
53,baking powder
53,baking soda
53,five-spice seasoning
53,carrots
53,walnuts
53,pineapple
53,coconut
53,raisins
53,applesauce
53,eggs
54,carrots
54,eggs
54,white sugar
54,all-purpose flour
54,baking powder
54,baking soda
54,cinnamon
54,salt
54,nutmeg
54,golden raisin
54,confectioners' sugar
54,cream cheese
54,light corn syrup
54,vanilla extract
55,avocados
55,tomatoes
55,salt
55,garlic
55,lime juice
56,butter
56,margarine
56,sugar
56,flour
56,eggs
56,salt
56,vanilla
56,buttermilk
57,black beans
57,tomatoes
57,roma tomatoes
57,green onions
57,garlic
57,cilantro
57,white pepper
58,beef eye round
58,dried thyme leaves
58,salt
58,pepper
58,ready-to-serve beef broth
58,Burgundy wine
58,garlic
58,cornstarch
58,frozen sugar snap peas
59,French baguette
59,butter
59,garlic powder
59,ricotta cheese
59,parmesan cheese
59,salt
59,tomatoes
59,olive oil
59,fresh basil leaves
60,Bisquick baking mix
60,sugar
60,butter
60,margarine
60,eggs
60,frozen blueberries
60,Bisquick baking mix
60,sugar
60,firm butter
60,margarine
61,brown sugar
61,butter
61,vanilla
61,eggs
61,all-purpose flour
61,salt
61,white chocolate
61,butter
61,sour cream
62,fresh lemon juice
62,olive oil
62,black beans
62,fresh corn kernels
62,plum tomato
62,scallion
62,fresh parsley leaves
62,cayenne
62,boston lettuce leaves
63,olive oil
63,Italian sausage
63,garlic
63,red pepper flakes
63,salt
63,black pepper
63,sun-dried tomato
63,white wine
63,cabbage
64,butter
64,almond paste
64,sugar
64,eggs
64,flour
64,cornstarch
64,baking powder
64,milk
66,brewed coffee
66,ketchup
66,red wine vinegar
66,dark brown sugar
66,onion
66,garlic cloves
66,dark molasses
66,hot dry mustard
66,Worcestershire sauce
66,cumin
66,chili powder
67,butter
67,sugar
67,eggs
67,cake flour
67,baking powder
67,salt
67,nutmeg
67,sour cream
67,Bourbon
67,pecans
67,powdered sugar
67,Bourbon
67,water
68,dry yeast
68,water
68,sugar
68,salt
68,flour
68,cornmeal
68,mozzarella cheese
68,oregano
68,pepper
68,green pepper
68,mushroom
68,parmesan cheese
69,piloncillo cone
69,Nottingham dry yeast
70,eggs
70,water
70,buckwheat flour
70,light brown sugar
70,whole wheat flour
70,buttermilk
70,salt
70,caraway seed
70,all-purpose flour
71,chicken
71,carrot
71,celery
71,onion
71,chicken bouillon cubes
71,butter
71,flour
71,sherry wine
71,lemon juice
71,salt
71,baking powder
71,salt
71,shortening
71,milk
71,peas
72,all-purpose flour
72,granulated sugar
72,baking powder
72,salt
72,milk
72,vanilla
72,butter
72,brown sugar
72,boiling water
73,milk
73,fine salt
73,white pepper
73,mace
73,ginger
73,nutmeg
73,powdered soy protein concentrate
73,eggs
73,fresh parsley
74,instant coffee granules
74,cinnamon
74,sugar
74,sugar
74,all-purpose flour
74,vanilla extract
74,fat free cream cheese
